endpoint,target_key,target_chembl_id,standard_type,assay_type,raw_rows,core_clean_rows,strict_candidate_rows,unique_compounds_core,unique_parent_compounds_core,exact_pct,censored_pct,left_censored_p_pct,right_censored_p_pct,exact_n,censored_n,left_censored_p_n,right_censored_p_n,earliest_year,latest_year,rows_with_year_pct,median_p_value,relation_values_seen,units_seen,validity_flags_seen,pass_gate
CYP3A4_Potency_A,CYP3A4,CHEMBL340,Potency,A,13692,13606,13606,6462,6403,1.0,0.0,0.0,0.0,13606,0,0,0,,,0.0,5.0999990348465305,=,nM,,False
hERG_IC50_B,hERG,CHEMBL240,IC50,B,16198,14373,12489,11958,11905,0.7108467265010784,0.2891532734989216,0.26988102692548527,0.019272246573436305,10217,4156,3879,277,2003,2024,0.9974953036944271,5.0,<;<=;=;>;>=,nM;ucm;ug.mL-1,Outside typical range;Potential transcription error,True
CYP3A4_IC50_A,CYP3A4,CHEMBL340,IC50,A,11254,10527,7768,8607,8594,0.5396599221050632,0.4603400778949368,0.4405813622114563,0.019758715683480574,5681,4846,4638,208,1992,2024,0.9863208891422057,5.0,<;<=;=;>;>=;~,min;nM;ug.mL-1,Outside typical range;Potential transcription error,True
CYP2D6_IC50_A,CYP2D6,CHEMBL289,IC50,A,6796,6492,4680,6043,6028,0.44716574245224894,0.5528342575477511,0.5271102895871842,0.025723967960566852,2903,3589,3422,167,1997,2024,0.9995378927911276,4.91660531953776,<;<=;=;>;>=,%;min;nM;ug.mL-1,Outside typical range;Potential transcription error,True
CYP2C9_IC50_A,CYP2C9,CHEMBL3397,IC50,A,5882,5645,4239,5249,5238,0.4924712134632418,0.5075287865367581,0.48644818423383523,0.02108060230292294,2780,2865,2746,119,1997,2024,0.9994685562444642,5.0,<;<=;=;>;>=,min;nM;ug.mL-1,Outside typical range;Potential transcription error,True
CYP2C19_Potency_A,CYP2C19,CHEMBL3622,Potency,A,3712,3672,3672,3518,3513,1.0,0.0,0.0,0.0,3672,0,0,0,,,0.0,5.199998172182031,=,nM,,False
CYP2D6_Potency_A,CYP2D6,CHEMBL289,Potency,A,3649,3620,3620,3343,3318,1.0,0.0,0.0,0.0,3620,0,0,0,,,0.0,5.0999990348465305,=,nM,,False
CYP1A2_IC50_A,CYP1A2,CHEMBL3356,IC50,A,4431,4219,3507,3953,3944,0.3792367859682389,0.620763214031761,0.6003792367859683,0.020383977245792842,1600,2619,2533,86,1997,2024,0.9992889310263096,5.0,<;<=;=;>;>=,nM;ug.mL-1,Outside typical range;Potential transcription error,True
CYP2C9_Potency_A,CYP2C9,CHEMBL3397,Potency,A,3082,3046,3046,2897,2888,1.0,0.0,0.0,0.0,3046,0,0,0,,,0.0,5.0999990348465305,=,nM,,False
CYP2C19_IC50_A,CYP2C19,CHEMBL3622,IC50,A,3650,3444,2741,3228,3225,0.429732868757259,0.570267131242741,0.5455865272938444,0.02468060394889663,1480,1964,1879,85,1999,2024,0.9991289198606271,4.904834150914855,<;<=;=;>;>=,nM;ug.mL-1,Outside typical range,True
hERG_Ki_B,hERG,CHEMBL240,Ki,B,3606,2655,2052,1966,1966,0.655367231638418,0.3446327683615819,0.31939736346516007,0.025235404896421846,1740,915,848,67,2001,2023,0.9868173258003766,5.0,<;=;>,nM,Outside typical range,True
hERG_IC50_T,hERG,CHEMBL240,IC50,T,2107,1974,1824,1862,1858,0.6306990881458967,0.36930091185410335,0.36220871327254306,0.0070921985815602835,1245,729,715,14,2001,2024,1.0,4.886056647693163,<;=;>;>=;~,nM;ug.mL-1,Outside typical range;Potential transcription error,True
ABCB1_IC50_B,ABCB1,CHEMBL4302,IC50,B,2202,2032,1689,1316,1314,0.937992125984252,0.06200787401574803,0.05905511811023622,0.002952755905511811,1906,126,120,6,2000,2024,1.0,5.784494641890758,<;<=;=;>;>=,nM;ug.mL-1,Outside typical range;Potential transcription error,False
CYP3A4_IC50_B,CYP3A4,CHEMBL340,IC50,B,2333,1498,916,1156,1155,0.6121495327102804,0.3878504672897196,0.369826435246996,0.018024032042723633,917,581,554,27,2004,2024,0.9746328437917223,5.0,<;=;>,nM,Outside typical range,False
CYP2C9_IC50_B,CYP2C9,CHEMBL3397,IC50,B,1462,641,432,555,555,0.45553822152886114,0.5444617784711389,0.4914196567862715,0.0530421216848674,292,349,315,34,2010,2024,0.921996879875195,5.0,<;=;>,nM,Outside typical range;Potential transcription error,False
CYP1A2_IC50_B,CYP1A2,CHEMBL3356,IC50,B,1253,421,300,388,388,0.30641330166270786,0.6935866983372921,0.6508313539192399,0.04275534441805225,129,292,274,18,2010,2024,0.9049881235154394,5.0,<;=;>,nM,,False
CYP2C19_IC50_B,CYP2C19,CHEMBL3622,IC50,B,1297,474,253,438,438,0.4767932489451477,0.5232067510548524,0.4451476793248945,0.07805907172995781,226,248,211,37,2003,2024,0.8987341772151899,5.0,<;=;>,nM,Outside typical range;Potential transcription error,False
CYP2D6_IC50_B,CYP2D6,CHEMBL289,IC50,B,1693,895,204,606,606,0.5094972067039106,0.49050279329608937,0.46256983240223465,0.027932960893854747,456,439,414,25,2010,2024,0.9184357541899442,5.0,<;=;>,nM,Outside typical range;Potential transcription error,False
CYP3A4_Ki_A,CYP3A4,CHEMBL340,Ki,A,254,246,181,186,185,0.9065040650406504,0.09349593495934959,0.052845528455284556,0.04065040650406504,223,23,13,10,1993,2024,1.0,5.522878745280337,<;=;>,nM,Outside typical range,False
CYP2D6_Ki_A,CYP2D6,CHEMBL289,Ki,A,185,176,109,142,142,0.9090909090909091,0.09090909090909091,0.09090909090909091,0.0,160,16,16,0,1993,2021,1.0,5.3979400086720375,=;>,nM,Outside typical range,False
ABCB1_Ki_B,ABCB1,CHEMBL4302,Ki,B,260,260,93,180,180,0.9307692307692308,0.06923076923076923,0.06923076923076923,0.0,242,18,18,0,2002,2017,1.0,5.7594507517174005,=;>,nM,Outside typical range,False
hERG_IC50_F,hERG,CHEMBL240,IC50,F,237,226,60,124,123,0.9601769911504425,0.03982300884955752,0.03982300884955752,0.0,217,9,9,0,1995,2014,0.9911504424778761,5.220924225639893,=;>;~,nM,Outside typical range,False
hERG_Ki_A,hERG,CHEMBL240,Ki,A,46,46,46,46,46,0.9782608695652174,0.021739130434782608,0.021739130434782608,0.0,45,1,1,0,2015,2015,1.0,6.91904660396636,=;>,nM,,False
CYP2C19_Ki_A,CYP2C19,CHEMBL3622,Ki,A,88,88,45,87,87,0.9204545454545454,0.07954545454545454,0.07954545454545454,0.0,81,7,7,0,2004,2021,1.0,5.377861439599078,=;>,nM,Outside typical range,False
hERG_IC50_A,hERG,CHEMBL240,IC50,A,46,43,39,42,41,0.7209302325581395,0.27906976744186046,0.27906976744186046,0.0,31,12,12,0,2012,2021,1.0,4.70245833218184,=;>,nM,,False
CYP1A2_Ki_A,CYP1A2,CHEMBL3356,Ki,A,37,37,35,36,36,0.9459459459459459,0.05405405405405406,0.05405405405405406,0.0,35,2,2,0,2005,2022,1.0,5.653647025549361,=;>,nM,Outside typical range,False
CYP2C9_Ki_A,CYP2C9,CHEMBL3397,Ki,A,167,167,34,154,154,0.9401197604790419,0.059880239520958084,0.059880239520958084,0.0,157,10,10,0,2000,2020,1.0,5.154901959985743,=;>,nM,Outside typical range,False
hERG_Ki_T,hERG,CHEMBL240,Ki,T,33,32,29,32,32,0.8125,0.1875,0.1875,0.0,26,6,6,0,2006,2024,1.0,5.0,=;>,nM,,False
ABCB1_IC50_F,ABCB1,CHEMBL4302,IC50,F,399,391,22,166,166,0.8593350383631714,0.14066496163682865,0.14066496163682865,0.0,336,55,55,0,1995,2006,1.0,4.920818753952375,=;>,nM,Outside typical range,False
ABCB1_AC50_F,ABCB1,CHEMBL4302,AC50,F,22,22,22,22,22,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.0,12,10,10,0,2006,2006,1.0,4.022493048480975,=;>,nM,,False
CYP1A2_Ki_B,CYP1A2,CHEMBL3356,Ki,B,891,20,20,18,18,1.0,0.0,0.0,0.0,20,0,0,0,2015,2015,1.0,6.1479247415801,=,nM,,False
ABCB1_IC50_A,ABCB1,CHEMBL4302,IC50,A,6,6,6,5,5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,4,2,2,0,2012,2014,1.0,4.8928430512878,=;>,nM,,False
CYP2D6_IC50_F,CYP2D6,CHEMBL289,IC50,F,4,4,4,4,4,0.0,1.0,1.0,0.0,0,4,4,0,2021,2021,1.0,4.698970004336019,>,nM,,False
CYP3A4_Ki_B,CYP3A4,CHEMBL340,Ki,B,873,2,1,2,2,1.0,0.0,0.0,0.0,2,0,0,0,2020,2024,1.0,4.814466068864132,=,nM,,False
hERG_AC50_T,hERG,CHEMBL240,AC50,T,1,1,1,1,1,1.0,0.0,0.0,0.0,1,0,0,0,2022,2022,1.0,5.552841968657781,=,nM,,False
CYP1A2_AC50_F,CYP1A2,CHEMBL3356,AC50,F,17143,9817,0,9630,9608,1.0,0.0,0.0,0.0,9817,0,0,0,,,0.0,5.200000237109354,=,nM,Outside typical range,False
CYP2C19_AC50_F,CYP2C19,CHEMBL3622,AC50,F,17143,8948,0,8877,8874,1.0,0.0,0.0,0.0,8948,0,0,0,,,0.0,5.100000128334196,=,nM,Outside typical range,False
CYP3A4_AC50_F,CYP3A4,CHEMBL340,AC50,F,17143,8806,0,8635,8619,1.0,0.0,0.0,0.0,8806,0,0,0,,,0.0,5.049999969853415,=,nM,Outside typical range,False
CYP2C9_AC50_F,CYP2C9,CHEMBL3397,AC50,F,17143,7299,0,7237,7230,1.0,0.0,0.0,0.0,7299,0,0,0,,,0.0,5.100000128334196,=,nM,Outside typical range,False
CYP2D6_AC50_F,CYP2D6,CHEMBL289,AC50,F,17143,5678,0,5473,5453,1.0,0.0,0.0,0.0,5678,0,0,0,,,0.0,5.0,=,nM,Outside typical range,False
hERG_AC50_F,hERG,CHEMBL240,AC50,F,1822,1809,0,1791,1791,0.2741846323935876,0.7258153676064124,0.7258153676064124,0.0,496,1313,1313,0,2023,2023,1.0,4.522878745280337,=;>,nM,Outside typical range,False
ABCB1_Ki_F,ABCB1,CHEMBL4302,Ki,F,66,66,0,32,32,0.9242424242424242,0.07575757575757576,0.07575757575757576,0.0,61,5,5,0,1994,2003,1.0,4.860677493120805,=;>,nM,Outside typical range,False
CYP2C19_Ki_B,CYP2C19,CHEMBL3622,Ki,B,871,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,,,0.0,,,,,False
CYP2C9_Ki_B,CYP2C9,CHEMBL3397,Ki,B,871,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,,,0.0,,,,,False
CYP2D6_Ki_B,CYP2D6,CHEMBL289,Ki,B,871,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,,,0.0,,,,,False
hERG_Potency_F,hERG,CHEMBL240,Potency,F,679,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,,,0.0,,,nM,,False
