endpoint_id,target_key,target_chembl_id,standard_type,assay_type,n_rows,n_exact,n_censored,n_left_censored_p,n_right_censored_p,n_interval,censored_pct,n_parent_compounds,n_scaffolds,n_assays,n_documents,earliest_year,latest_year,rows_with_year_pct,parquet_file,csv_gz_file,parquet_sha256,csv_gz_sha256,passes_stage4_quality_gate
ABCB1_AC50_F,ABCB1,CHEMBL4302,AC50,F,22,12,10,10,0,0,0.45454545454545453,22,5,22,22,2006,2006,1.0,endpoints/ABCB1_AC50_F.parquet,endpoints/ABCB1_AC50_F.csv.gz,21796c7c346c00d324ece745a0597b5b14ed42b5d904c5e95f351372036084af,1bb74c0ee8b8a919ee31f9c86aab4681da31a94a09a566d8db72d88c5d63bb12,False
ABCB1_IC50_A,ABCB1,CHEMBL4302,IC50,A,2,1,1,1,0,0,0.5,2,2,3,2,2012,2013,1.0,endpoints/ABCB1_IC50_A.parquet,endpoints/ABCB1_IC50_A.csv.gz,4c3c58924d89a81948fc68901b27ea5f9d94f8cb8fbfd1dd6204b7f853101b42,f77742f81fe778dab3eba40d1834861bea67b12ef0f6484f823a44303a148acc,False
ABCB1_IC50_B,ABCB1,CHEMBL4302,IC50,B,1092,1033,59,59,0,0,0.05402930402930403,1092,542,1213,1134,2007,2024,1.0,endpoints/ABCB1_IC50_B.parquet,endpoints/ABCB1_IC50_B.csv.gz,d543c25f706aeba856201b5de8942298498b5ec8fe3a15fd4fd4385b858ac786,675ac92b569a80419b996484385ff7c23340a0d48bf07ea705c675a641e0d136,False
ABCB1_IC50_F,ABCB1,CHEMBL4302,IC50,F,22,17,5,5,0,0,0.22727272727272727,22,5,22,22,2006,2006,1.0,endpoints/ABCB1_IC50_F.parquet,endpoints/ABCB1_IC50_F.csv.gz,0b2e7a27d79fffd523b271204a645d9f7c328ea4e4258361b03e04393a36f59e,280c753c84b7f39878dc9a90ebb2021e0aa652c01fefbd9d4ba4c43348912c25,False
ABCB1_Ki_B,ABCB1,CHEMBL4302,Ki,B,90,72,18,18,0,0,0.2,90,35,93,90,2006,2017,1.0,endpoints/ABCB1_Ki_B.parquet,endpoints/ABCB1_Ki_B.csv.gz,b939f4014348b6a82e516fd8b13a74d9699e0253297ec7511f781210b9f1c849,9f67b0baf6ed30f736c297b7199f38ecbb33d67e57bf3b4cb747f96cfcc68fce,False
CYP1A2_IC50_A,CYP1A2,CHEMBL3356,IC50,A,3350,1209,2141,2077,64,0,0.6391044776119403,3350,2033,3405,3365,1997,2024,1.0,endpoints/CYP1A2_IC50_A.parquet,endpoints/CYP1A2_IC50_A.csv.gz,de58dbd774d966df00e5f704c4331c8edcd68321b6386c991af2af44fff73d01,f34281c2d63394a57fc56c1441342f0dff2888130229e32b1129428bbd4af881,True
CYP1A2_IC50_B,CYP1A2,CHEMBL3356,IC50,B,278,72,206,191,15,0,0.7410071942446043,278,111,282,279,2010,2024,1.0,endpoints/CYP1A2_IC50_B.parquet,endpoints/CYP1A2_IC50_B.csv.gz,571bde675ba3bbad60d71ab0ed8d2bf8d154169e3ff07f118f682e4ae713c936,a5bb561b24a0d89ad6807dfdb7fa1a7818d5c88e32da2f0270cffebb2b472a29,False
CYP1A2_Ki_A,CYP1A2,CHEMBL3356,Ki,A,34,32,2,2,0,0,0.058823529411764705,34,26,35,34,2005,2022,1.0,endpoints/CYP1A2_Ki_A.parquet,endpoints/CYP1A2_Ki_A.csv.gz,edc317d20433b43715ca899e1673db42be48a94eab778d6842a447c12678c262,11da7dc9099cbdf73f4533872575a863ddc56fb8fc4ac898b71ed688477e784e,False
CYP1A2_Ki_B,CYP1A2,CHEMBL3356,Ki,B,17,17,0,0,0,0,0.0,17,12,18,17,2015,2015,1.0,endpoints/CYP1A2_Ki_B.parquet,endpoints/CYP1A2_Ki_B.csv.gz,dc8e558aab3772448c4bf77998e68e9a5c721e586465158c65de5fdb753b64b3,86ea5ea1581b46e696b21c317271ce8c7b78154902c600a6a96f8d62f2c20f89,False
CYP2C19_IC50_A,CYP2C19,CHEMBL3622,IC50,A,2618,1064,1554,1496,58,0,0.5935828877005348,2618,1763,2681,2645,1999,2024,1.0,endpoints/CYP2C19_IC50_A.parquet,endpoints/CYP2C19_IC50_A.csv.gz,b823ad894e5e53a82b0e6fd97617ae8ea9d296a1b6240bd438e701a5ce2e0a79,cb4d820868cdd64c7da062f472a567f60bb9931cabaf306ad29f06c2a4020dfc,True
CYP2C19_IC50_B,CYP2C19,CHEMBL3622,IC50,B,236,98,138,110,28,0,0.5847457627118644,236,80,236,236,2010,2024,1.0,endpoints/CYP2C19_IC50_B.parquet,endpoints/CYP2C19_IC50_B.csv.gz,3ccfb75fff81ac84903b47a6752c5fef3fa9e20218518c5c92ab6731cd0f1f8e,bbe83028e4ea2202932aaf133d36f8290a1a9daca5f3c7650eff952cd992fdb7,False
CYP2C19_Ki_A,CYP2C19,CHEMBL3622,Ki,A,45,43,2,2,0,0,0.044444444444444446,45,22,45,45,2004,2021,1.0,endpoints/CYP2C19_Ki_A.parquet,endpoints/CYP2C19_Ki_A.csv.gz,8682f19806a0d30be19662bb3c40eeb8ae1b9a283c45f6856a412f2efd972560,ea0786a2705d5843975e8cb553d1d80737b500993d762d17dc19a2df4f99fec3,False
CYP2C9_IC50_A,CYP2C9,CHEMBL3397,IC50,A,4023,1888,2135,2066,69,0,0.5306984837186179,4023,2646,4138,4052,1997,2024,1.0,endpoints/CYP2C9_IC50_A.parquet,endpoints/CYP2C9_IC50_A.csv.gz,1dad08c430ef5a6851308d4cce4c121a02ffa7ad972b1aa28e10325d7edf2782,54f859a76e61f316d91ce54e6bdba5405c868f202c6141156cf322b0c4e0e5ab,True
CYP2C9_IC50_B,CYP2C9,CHEMBL3397,IC50,B,375,157,218,190,28,0,0.5813333333333334,375,168,394,375,2010,2024,1.0,endpoints/CYP2C9_IC50_B.parquet,endpoints/CYP2C9_IC50_B.csv.gz,d9a743df47cac0591365413c8b9e4cef778a31b51cbfc8224e467dc119559a97,383c0f9f4e75fec414a45f9472b9006ee86c83531928f759bfeee1440bd4c56a,False
CYP2C9_Ki_A,CYP2C9,CHEMBL3397,Ki,A,34,32,2,2,0,0,0.058823529411764705,34,23,34,34,2000,2020,1.0,endpoints/CYP2C9_Ki_A.parquet,endpoints/CYP2C9_Ki_A.csv.gz,50976fcd01a57247675ea0b2453936bcc4a05a3262afa462c4beaf8b2def16b8,8ddc26f0a98e24af173c4cbeb18de9872b07bb23b1b3b608ae85d2a001c6b801,False
CYP2D6_IC50_A,CYP2D6,CHEMBL289,IC50,A,4450,1773,2677,2575,102,0,0.6015730337078652,4450,2785,4533,4466,1997,2024,1.0,endpoints/CYP2D6_IC50_A.parquet,endpoints/CYP2D6_IC50_A.csv.gz,0c2f25c82cc3553a680c682da5226d128aa873ed5a3ba223d4f3a6a7d510bade,39f743b85abf8d1335da332c73056df62adc0212571293bcb82af09a8c502e8e,True
CYP2D6_IC50_B,CYP2D6,CHEMBL289,IC50,B,191,81,110,109,1,0,0.5759162303664922,191,80,192,191,2010,2024,1.0,endpoints/CYP2D6_IC50_B.parquet,endpoints/CYP2D6_IC50_B.csv.gz,e616bc7b0527ee59d2cce838b8e0c50327ebaec55ea3e1943cda53783c69b1df,1a8f050ee1907a8300cd8a5d9679426bb22ae1b91c2181364a45eabecf774bd4,False
CYP2D6_IC50_F,CYP2D6,CHEMBL289,IC50,F,4,0,4,4,0,0,1.0,4,4,4,4,2021,2021,1.0,endpoints/CYP2D6_IC50_F.parquet,endpoints/CYP2D6_IC50_F.csv.gz,5484c89bdc2b2acd20f851d5265355d39af1230d9be9c6ad2d52c43c4eb37236,74026dbb552dd5a44dc33889d27ffe78559e385d3cd29736e2b2a899b0903694,False
CYP2D6_Ki_A,CYP2D6,CHEMBL289,Ki,A,78,76,2,2,0,0,0.02564102564102564,78,53,95,79,1993,2021,1.0,endpoints/CYP2D6_Ki_A.parquet,endpoints/CYP2D6_Ki_A.csv.gz,81fbf95e462d6f7190adebe1c75fd3224dc611d457b4edb608285ae80acd8561,a5823e4c8910ccb2a005765182f26972195ee08e9a377c05384f841e5e1f1e63,False
CYP3A4_IC50_A,CYP3A4,CHEMBL340,IC50,A,6270,3185,3085,2988,97,0,0.4920255183413078,6270,3773,7084,6316,1997,2024,0.9920255183413078,endpoints/CYP3A4_IC50_A.parquet,endpoints/CYP3A4_IC50_A.csv.gz,e005b5f24ed2a09900ec25c1d874ae495bb6c285ba737c3d52bb8ecd99fd85da,6d91a827f566f76545d8d1693ea4ea5d99b16d2ee464685b5c5637ed98546386,True
CYP3A4_IC50_B,CYP3A4,CHEMBL340,IC50,B,692,498,194,190,4,0,0.28034682080924855,692,314,699,692,2010,2024,1.0,endpoints/CYP3A4_IC50_B.parquet,endpoints/CYP3A4_IC50_B.csv.gz,021769a00e26c22971af56f630bd878928fc8a49a72012861c9b1a492784d115,96a9d9bbe9912996a89f399c4551ed6e5cdf32c223f2e5137aa0a08c084cc97c,False
CYP3A4_Ki_A,CYP3A4,CHEMBL340,Ki,A,126,123,3,2,1,0,0.023809523809523808,126,96,149,135,2005,2024,1.0,endpoints/CYP3A4_Ki_A.parquet,endpoints/CYP3A4_Ki_A.csv.gz,25881d4dc22efc4084207ec3eeb328f1b4c989a63965ec6da3d50310c8d3dc99,54bc69ce8b844b0f79dac780e1631bace63df7778d4f7cd0f8dc2919f1b2ccd2,False
CYP3A4_Ki_B,CYP3A4,CHEMBL340,Ki,B,1,1,0,0,0,0,0.0,1,1,1,1,2024,2024,1.0,endpoints/CYP3A4_Ki_B.parquet,endpoints/CYP3A4_Ki_B.csv.gz,aad763a01bb5b8880f3cad5f93763e47635284edf84225cb0b22b7ed439809b0,df6336ae805e8154626592b89294a4ed2b443dd666eebf2f48443f20f621bd2e,False
hERG_AC50_T,hERG,CHEMBL240,AC50,T,1,1,0,0,0,0,0.0,1,1,1,1,2022,2022,1.0,endpoints/hERG_AC50_T.parquet,endpoints/hERG_AC50_T.csv.gz,fa659c944c8fa2c9af709021a6235023cbdb44b1110b09082a2337431ab6e37e,7da1db5854418df999b0c4fc61c4f51619b45f845139a40f704557a81c638b8a,False
hERG_IC50_A,hERG,CHEMBL240,IC50,A,37,26,11,11,0,0,0.2972972972972973,37,13,38,37,2012,2021,1.0,endpoints/hERG_IC50_A.parquet,endpoints/hERG_IC50_A.csv.gz,95363da8904e3cd6a986b8346ca4ce1e30c69895cb62da2d9dfbecd7c135954e,3bf48499eec211818b97c421c6cd945d8210ecda8a1075b7548a2a0616a9f313,False
hERG_IC50_B,hERG,CHEMBL240,IC50,B,11370,7917,3453,3199,254,0,0.3036939313984169,11370,5717,11752,11504,2003,2024,1.0,endpoints/hERG_IC50_B.parquet,endpoints/hERG_IC50_B.csv.gz,30bd9d9a51fe48a4fc4b992b1fca5461843a702ddb88ed8a31af8063f3fdec54,7c3456949267d7c2f3ec5d1e90c640fb8ad6b572d89223600305382c1d2dde74,True
hERG_IC50_F,hERG,CHEMBL240,IC50,F,54,47,7,7,0,0,0.12962962962962962,54,45,56,56,2002,2011,0.9629629629629629,endpoints/hERG_IC50_F.parquet,endpoints/hERG_IC50_F.csv.gz,0c2b56000bad0310265117b75c1a3353a5ee7cc325daeee67c63562677440ec2,ac4019436e75cb5757963ddb1f7afd7be94e99d91466ddcc85d7c900fed330df,False
hERG_IC50_T,hERG,CHEMBL240,IC50,T,1727,1065,662,649,13,0,0.38332368268674,1727,1084,1769,1743,2001,2024,1.0,endpoints/hERG_IC50_T.parquet,endpoints/hERG_IC50_T.csv.gz,2b262578881044efd421f053b0c87062c4c020820b6721a1fb2aed829be4276e,e6f4cfc4dc9fab06de0a9c0517972e9df560255a4a47efb4e1a4f3df0589150f,True
hERG_Ki_A,hERG,CHEMBL240,Ki,A,46,45,1,1,0,0,0.021739130434782608,46,19,46,46,2015,2015,1.0,endpoints/hERG_Ki_A.parquet,endpoints/hERG_Ki_A.csv.gz,cbfa671da99f9b08f3c8be43dbdec28f6de6eaaeefa1a20cef008fc422ca31fe,4d443a54c60cc9a20f22e30bb85d0847a9df112cc4bffee69318a021d3370560,False
hERG_Ki_B,hERG,CHEMBL240,Ki,B,1843,1312,531,505,26,0,0.28811720021703746,1843,909,1867,1858,2001,2023,1.0,endpoints/hERG_Ki_B.parquet,endpoints/hERG_Ki_B.csv.gz,64cfa927647c3f3f0c214fd5b21e749b166839785d085597d3aaa5362cdbf330,5a7b7a084cda854af152071e61a79b4182893671bff051379398999e67591315,True
hERG_Ki_T,hERG,CHEMBL240,Ki,T,29,25,4,4,0,0,0.13793103448275862,29,21,29,29,2006,2024,1.0,endpoints/hERG_Ki_T.parquet,endpoints/hERG_Ki_T.csv.gz,a5e5fdcb40734c737cbdc858ce5336ebad42b5bcd3f8d1dbf1f2b1ed3bced742,69123fada324c66ccd650cf2f343a86ffa7ca4cbe991fc4d2a668c43a31b1dd8,False
